customer_city,order_volume,total_sales
ibipora,12,1590.84
aperibe,12,1835.9099999999999
paraguacu,12,1826.29
lucelia,12,1147.89
cangucu,12,1545.69
cacoal,12,2414.8
pontal,12,1333.0499999999997
tabapua,12,1535.21
capanema,12,1504.71
parobe,12,1985.0700000000002
mendes,12,1509.9899999999998
santo amaro da imperatriz,11,3245.7
araripina,11,1538.0499999999997
itamaraju,11,1681.1999999999998
taquari,11,1870.8600000000001
cajazeiras,11,2410.67
correia pinto,11,1680.18
sao joao batista,11,2225.0
alvinopolis,11,1020.96
santa cruz do capibaribe,11,2777.520000000001
bacabal,11,3883.5000000000005
coxim,11,1854.6200000000001
tapejara,11,1757.7300000000002
santa gertrudes,11,1471.05
ouroeste,11,1437.5699999999997
tanabi,11,1658.14
prata,11,1346.0900000000001
quissama,11,1879.68
sao lourenco da mata,11,1584.41
belo jardim,11,2013.15
aracoiaba da serra,11,1701.76
floresta,11,1538.7800000000002
encantado,11,3196.4500000000003
coronel vivida,11,1058.5900000000001
nova andradina,11,2527.5499999999997
canarana,11,1486.8999999999999
corinto,11,1545.63
paranapanema,11,759.71
andira,11,1688.59
capinopolis,11,1277.9500000000003
ibaiti,11,1264.14
itapiranga,11,2921.8900000000003
mata de sao joao,11,1344.1799999999998
minacu,11,1787.83
guararema,11,1370.41
carandai,11,1386.44
jequitinhonha,11,1595.86
pompeu,11,1321.6699999999998
timon,11,1415.47
astolfo dutra,11,1509.6899999999996
igarassu,11,2264.63
mostardas,11,1720.33
rio brilhante,11,1195.16
tres passos,11,1503.72
maravilha,11,984.1400000000001
sidrolandia,11,1842.5299999999997
treze tilias,11,1159.3600000000001
barroso,11,1575.5199999999998
goitacazes,11,1388.2399999999998
dois corregos,11,1402.5899999999997
goioere,11,2191.01
varzea da palma,11,2440.97
mantena,11,1946.55
afonso claudio,11,1767.92
araquari,11,1285.36
raposos,11,1297.31
embu,11,1719.6600000000003
limoeiro do norte,11,1492.55
lagarto,11,2362.35
faxinal dos guedes,11,1948.77
abaete,11,1792.58
abaetetuba,11,4672.27
abreu e lima,11,2871.92
boa esperanca do sul,11,1012.6200000000001
bezerros,10,1651.2300000000002
biritiba-mirim,10,1579.77
xaxim,10,1928.25
fartura,10,2106.41
eloi mendes,10,2077.95
lagoa da prata,10,1884.08
charqueada,10,1290.8799999999999
escada,10,3556.7
aimores,10,1143.77
duartina,10,1453.3
carpina,10,2600.23
planaltina,10,949.3399999999999
regente feijo,10,1088.31
resplendor,10,944.6000000000001
piracanjuba,10,2211.4
castilho,10,3043.5999999999995
carmo do cajuru,10,1932.42
goiatuba,10,2648.12
brejo santo,10,1949.35
gravata,10,2243.9600000000005
montanha,10,1862.77
monte aprazivel,10,1186.5
serra talhada,10,2625.9500000000003
rio das pedras,10,1205.56
guarabira,10,1642.8600000000001
buri,10,1103.39
antonina,10,2285.4
dom pedrito,10,1708.0899999999997
girua,10,1560.97
urupes,10,1313.27
urussanga,10,1083.08
salesopolis,10,1310.9599999999998
capinzal,10,1469.2299999999998
morada nova,10,1668.9200000000003
itamonte,10,1105.0599999999997
caconde,10,1829.57
caetite,10,2300.4500000000003
taua,10,1251.37
itapipoca,10,1482.9099999999999
auriflama,10,2029.7699999999998
santo amaro,10,2066.74
taguai,10,873.56
aguas da prata,10,1257.5700000000002
julio de castilhos,10,983.0400000000001
catu,10,1763.24
itai,10,1972.66
itajobi,10,1915.71
sombrio,10,1437.1200000000001
paraibuna,10,1810.75
caico,10,3215.3099999999995
paraiso do tocantins,10,2238.8599999999997
sumidouro,10,1325.97
santa teresa,10,1313.6499999999996
palotina,10,1065.7699999999998
papucaia,10,1435.7
campo verde,10,1029.69
nova xavantina,10,3602.16
campina verde,10,868.85
campo formoso,10,4054.3399999999992
paicandu,10,1106.22
palestina,10,634.57
pradopolis,10,1081.3100000000002
querencia,10,2701.9500000000003
portao,10,959.46
bom jesus da lapa,9,3153.69
garibaldi,9,1216.25
pomerode,9,1797.5500000000004
valente,9,3614.1000000000004
pontes e lacerda,9,1972.9
sao lourenco do oeste,9,997.1300000000001
aracuai,9,1588.7800000000002
colina,9,762.25
sao miguel do iguacu,9,1244.1399999999999
cicero dantas,9,4097.2
sao marcos,9,994.7600000000001
juquia,9,880.09
sao joaquim,9,1310.3899999999999
colorado,9,1405.65
planalto,9,976.3500000000001
mar de espanha,9,1191.57
arapoti,9,1280.91
carmo do rio claro,9,1969.5299999999997
piranguinho,9,1689.85
conceicao do coite,9,1307.04
cedral,9,1956.8700000000001
dourado,9,1316.9299999999998
